driver_id,round,position,grid_position,points,status,laps_completed,rarity
norris,1,1.0,1.0,25.0,Finished,57.0,Legendary
max_verstappen,1,2.0,3.0,18.0,Finished,57.0,Epic
russell,1,3.0,4.0,15.0,Finished,57.0,Epic
antonelli,1,4.0,16.0,12.0,Finished,57.0,Rare
albon,1,5.0,6.0,10.0,Finished,57.0,Rare
stroll,1,6.0,13.0,8.0,Finished,57.0,Rare
hulkenberg,1,7.0,17.0,6.0,Finished,57.0,Rare
leclerc,1,8.0,7.0,4.0,Finished,57.0,Rare
piastri,1,9.0,2.0,2.0,Finished,57.0,Rare
hamilton,1,10.0,8.0,1.0,Finished,57.0,Rare
gasly,1,11.0,9.0,0.0,Finished,57.0,Common
tsunoda,1,12.0,5.0,0.0,Finished,57.0,Common
ocon,1,13.0,19.0,0.0,Finished,57.0,Common
bearman,1,14.0,20.0,0.0,Finished,57.0,Common
lawson,1,15.0,18.0,0.0,Retired,46.0,Common
bortoleto,1,16.0,15.0,0.0,Retired,45.0,Common
alonso,1,17.0,12.0,0.0,Retired,32.0,Common
sainz,1,18.0,10.0,0.0,Retired,0.0,Common
doohan,1,19.0,14.0,0.0,Retired,0.0,Common
hadjar,1,20.0,11.0,0.0,Retired,0.0,Common
piastri,2,1.0,1.0,25.0,Finished,56.0,Legendary
norris,2,2.0,3.0,18.0,Finished,56.0,Epic
russell,2,3.0,2.0,15.0,Finished,56.0,Epic
max_verstappen,2,4.0,4.0,12.0,Finished,56.0,Rare
ocon,2,5.0,11.0,10.0,Finished,56.0,Rare
antonelli,2,6.0,8.0,8.0,Finished,56.0,Rare
albon,2,7.0,10.0,6.0,Finished,56.0,Rare
bearman,2,8.0,17.0,4.0,Finished,56.0,Rare
stroll,2,9.0,14.0,2.0,Finished,56.0,Rare
sainz,2,10.0,15.0,1.0,Finished,56.0,Rare
hadjar,2,11.0,7.0,0.0,Finished,56.0,Common
lawson,2,12.0,20.0,0.0,Finished,56.0,Common
doohan,2,13.0,18.0,0.0,Finished,56.0,Common
bortoleto,2,14.0,19.0,0.0,Lapped,55.0,Common
hulkenberg,2,15.0,12.0,0.0,Lapped,55.0,Common
tsunoda,2,16.0,9.0,0.0,Lapped,55.0,Common
alonso,2,17.0,13.0,0.0,Retired,4.0,Common
leclerc,2,18.0,6.0,0.0,Disqualified,0.0,Common
hamilton,2,19.0,5.0,0.0,Disqualified,0.0,Common
gasly,2,20.0,16.0,0.0,Disqualified,0.0,Common
max_verstappen,3,1.0,1.0,25.0,Finished,53.0,Legendary
norris,3,2.0,2.0,18.0,Finished,53.0,Epic
piastri,3,3.0,3.0,15.0,Finished,53.0,Epic
leclerc,3,4.0,4.0,12.0,Finished,53.0,Rare
russell,3,5.0,5.0,10.0,Finished,53.0,Rare
antonelli,3,6.0,6.0,8.0,Finished,53.0,Rare
hamilton,3,7.0,8.0,6.0,Finished,53.0,Rare
